Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
Miscellaneous,5815 S. Maryland ,8/12/10,8/12/10 9:30 AM,Patient left the hospital without being properly released,Closed,W0952,-87.6041439,41.78917240000001
Theft,800 E. 55th St. ,8/12/10,8/12/10 12:00 PM to 1:10 PM,Unknown person took an unattended cell phone from an examination room,Open,W0954,-87.60537289999999,41.7956635
Theft,970 E. 59th St. ,8/12/10,4/1/10 to 8/4/10 8:00 AM to 5:00 PM,Leica light microscope taken from secured room,Open,W0953,-87.6016822,41.7879852
Burglary,Oakenwald between 40th & 41st,8/12/10,8/12/10 6:15 PM,Resident reports she saw 10-15 unknown male & female teens run from her home while she was in rear yard / $300 and two bottles of wine taken / No sign of forced entry,Open,W0955,-87.60059338809461,41.82161340163377
Violation of Order of Protection,5721 S. Maryland ,8/12/10,8/12/10 7:45 PM,Woman visiting child reported child's father violated order of protection by visiting while she was present,Closed,W0956,-87.6046094,41.7902271
Irregular Conditions,5640 S. University ,8/13/20,8/13/10 1:23 AM,UCPD unit found exterior door of building unlocked / Checked premise / All secure,Closed,W0957,-87.59822439999999,41.7925325
Burglary,Ellis between 54th & 55th,8/13/10,8/13/10 4:20 AM,"Resident awaked to find an unknown man standing in the kitchen / when observed, suspect fled out rear door / entry made via open window",Open,W0958,-87.60130105065737,41.79646450000363
Disturbance,5841 S. Maryland ,8/13/10,8/13/10 7:32 AM,Anonymous person placed a call that a man was displaying a handgun in a hospital office / No person found / Anonymous caller not found,Unfounded,W0959,-87.6045656,41.7883128
Burglary,55th Pl. between Blackstone & Harper,8/13/10,8/12/10 to 8/13/10 11:00 PM to 7:30 AM,"Unknown person(s) gained entry to residence via broken window / Took TV, computers, cell phone, wallet, keys / Honda Odyssey taken from street",Open,W0960,-87.58937855268954,41.79495330388984
Theft,1212 E. 59th St. ,8/13/10,8/10/10 to 8/13/10 12:00 PM to 12:00 PM,Unknown person took secured bicycle from bike rack,Open,W0961,-87.5955798,41.7882112
Battery,Dorchester & 58th,8/14/10,8/14/10 9:15 PM,Unknown male grabbed a man walking on the sidewalk tearing his shirt / Suspect fled when victim activated his vehicle alarm,Open,W0963,-87.5915533,41.7896587
Theft,Harper between 57th & 58th,8/15/10,8/15/10 3:27 PM,Male subject took bicycle from the rear of a building / Arrest by UCPD,Arrest,W0965,-87.6093580300694,41.834812309433254
Found Property,1111 E. 60th St. ,8/16/10,8/11/2010  Unknown,Staff member found expended bullet near the reflecting pool on the Law School grounds / Turned over to CPD,Closed,W0966,-87.598689,41.7853295
Criminal Damage to Property,1101 E. 56th St ,8/16/10,8/16/10 8:49 AM,Graffiti scrawled on fire exit door of the building / Facilities notified for removal,Closed,W0967,-87.59982459999999,41.7930128
Criminal Damage to Vehicle,5555 S. Ellis ,8/16/10,8/13/10 to 8/16/10 4:30 PM to 6:45 AM,Driver's side view mirror of University owned van was forcibly removed from the vehicle,Open,W0968,-87.60085939999999,41.7934028
Information,University between 55th & 56th,8/16/10,8/13/10 5:00 PM,"Woman reports a male subject in a vehicle parked on the street may have been fondling himself, but she was not certain",Open,W0969,-87.59811360023362,41.79413605000118
Theft,Harper & 52nd,8/16/10,8/16/10 5:40 PM,UCPD officers arrested a male subject shortly after he took a bicycle parked on the street / Property returned to owner,Arrest,W0970,-87.5891152,41.80100059999999
Theft,58th between Kimbark & Kenwood,8/16/10,7/5/10 to 8/16/10 12:00 PM to 1:00 PM,Unknown person(s) took copper downspouts from building,Open,W0972,-87.59398750010061,41.78963385285395
Burglary,Kenwood between 54th & 55th,8/16/10,8/16/10 9:20 AM to 5:50 PM,Unknown person broke rear window to gain entry to residence / Took 2 digital cameras and jewelry,Open,W0971,-87.59339489880493,41.796573200012325
Found Property,Ingleside & 62nd,8/16/10,8/16/10 9:13 PM,UCPD officers found a handgun hidden in a tree planter on the street / Turned over to CPD for processing,Closed,W0974,-87.6297982,41.8781136
Burglary,52nd between Woodlawn & Kimbark,8/16/10,8/16/10 9:30 PM to10:00 PM,Unknown person gained entry to apartment via an open window / Took Dell Laptop computer & i-Pod,Open,W0973,-87.5958698501941,41.80090965284741
Burglary,Woodlawn & 54th,8/17/10,8/16/10 11:55 PM,Resident arrived at home to find an unknown male in his apartment / Suspect fled via an open window,Open,W0975,-87.5965659,41.7965229
Burglary,Ellis between 54th & 55th,8/17/10,8/16/10 to 8/17/10 7:00 PM to 8:30 AM,Unknown person gained entry to apartment via an unlocked window and took $15 cash,Open,W0976,-87.60130105065737,41.79646450000363
Theft,5758 S. Maryland ,8/17/10,8/17/10 1:15 PM to 1:30 PM,Unknown person took $640 cash from unattended purse in women's washroom,Open,W0977,-87.60554789999999,41.7901233
Theft,Greenwood between 53rd & 54th,8/17/10,8/16/10 to 8/17/10 4:00 PM to 11:00 AM,"Bicycle was secured to a light pole / Unknown person took frame and rear wheel, leaving front wheel secured to the pole",Open,W0978,-87.5997259497981,41.79867380000135
Burglary,54th Pl. between Ingleside & Ellis,8/17/10,8/17/10 8:30 AM to 10:45 PM,Unknown person pulled air conditioner from window to gain entry to apartment / Took jewelry box and jewelry,Open,W0979,-87.60199860010907,41.796462852476914
Theft,901 E. 58th St. ,8/18/10,8/18/10 9:00 AM to 10:00 AM,Patient reports unknown person took $20 from his unattended wallet,Open,W0980,-87.6049245,41.78949770000001
