,Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,LON,LAT
5656,Theft,5530 S. Ellis ,8/27/14 5:44 PM,8/27/14 1:00 PM to 6:40 PM,Unknown person took secured bicycle from bike rack,Open,D00767,-87.60162840000001,41.794474
5657,Theft,1100 E. 58th St. ,8/29/14 2:57 PM,8/26/14 to 8/29/14 12:00 PM to 9:00 AM,"Unknown person took unattended laptop computer from desk top in secured, shared office",Open,D00768,-87.59917689999997,41.7901848
5659,Theft,5700 S. Maryland ,8/30/14 6:24 PM,8/30/14 11:15 AM to 1:15 PM,Handbag taken from unsecured locker in secured staff locker room / Property was located by the owner intact / Unfounded,Unfounded,D00770,-87.60495069999997,41.79106779999999
5665,Theft,5700 S. Maryland ,9/2/14 1:53 PM,4/14/14 12:30 PM,Cell phone placed on counter in cafeteria was taken / Victim discovered identity of the suspect / Suspect returned phone to victim / Victim refused to prosecute,Ex. Cleared,D00776,-87.60495069999997,41.79106779999999
5666,Theft,5815 S. Maryland ,9/3/14 10:17 AM,9/3/14 3:00 AM to 4:00 AM,Purse believed stolen from café was found and returned to the owner intact / Unfounded,Unfounded,D00777,-87.6041439,41.78917240000001
5669,Theft,5841 S. Maryland ,9/3/14 11:29 PM,9/3/14 1:30 PM to 9:00 PM,Unknown person took wallet from unattended book bag in unsecured room / Subsequent unauthorized use of credit card reported,Open,D00780,-87.6045656,41.7883128
5670,Theft,5840 S. Kenwood ,9/4/14 1:12 PM,8/22/14 to 9/4/14 6:00 AM to 6:00 AM,Contractor's tools taken from a secured tool box,Open,D00781,-87.59318329999998,41.7893743
5679,Theft,5721 S. Maryland ,9/9/14 12:35 PM,9/9/14 7:00 AM to 11:50 AM,Unattended cell phone taken from patient's room,Open,D00790,-87.6046094,41.7902271
5690,Theft,900 E. 57th St. ,9/15/14 2:31 PM,9/15/14 10:25 AM to 2:30 PM,Unattended cell phone left in unsecured lab taken by unknown person,Open,D00802,-87.6034081,41.791646899999996
5691,Theft,900 E. 57th St. ,9/15/14 2:55 PM,9/15/14 1:05 PM to 1:25 PM,Unattended cell phone left in unsecured office cubicle taken by unknown person,Open,D00803,-87.6034081,41.791646899999996
5692,Theft,901 E. 58th St. ,9/15/14 3:25 PM,9/15/14 10:30 AM 12:30 PM,Cash taken from unattended purse left in unsecured area,Open,D00804,-87.6049245,41.78949770000001
5694,Theft,5610 S. Drexel ,9/16/14 8:53 AM,9/12/14 to 9/15/14 3:00 PM to 11:00 AM,Laptop computer taken from unsecured desk drawer in shared office space,Open,D00806,-87.6040807,41.7928524
5698,Theft,933 E. 56th St. ,9/17/14 5:35 PM,9/17/14 3:30 PM to 5:30 PM,Unknown person took unattended laptop computer and back pack from unsecured room 109 and an unattended laptop computer from unsecured room 112,Open,D00810,-87.60251120000001,41.79298319999999
5699,Theft,5700 S. Maryland ,9/18/14 2:46 PM,8/25/14 6:00 PM to 8:00 PM,Cash taken from wallet left in unattended bag in OR hallway / Suspect was identified and taken into custody by UCPD Investigations on 10/7/14,Arrest,D00813,-87.60495069999997,41.79106779999999
5703,Theft,5530 S. Ellis ,9/19/14 1:40 PM,8/28/14 to 9/7/14 8:00 AM to 2:45 PM,Gym shoes taken from unsecured locker,Open,D00817,-87.60162840000001,41.794474
5706,Theft,1526 E. 55th St. ,9/20/14 2:20 PM,9/20/14 1:15 PM,Individual took merchandise from store without paying / Arrest by UCPD,Arrest,D00820,-87.5886245,41.7961335
5707,Theft,5530 S. Ellis ,9/20/14 6:18 PM,9/20/14 5:20 PM to 6:10 PM,Secured bicycle taken from bike rack by unknown person,Open,D00821,-87.60162840000001,41.794474
5708,Theft,5550 S. University ,9/20/14 8:47 PM,9/20/14 12:00 AM to 1:00 PM,Secured bicycle taken from bike rack by unknown person,Open,D00822,-87.598936,41.793561100000005
5714,Theft,5730 S. Drexel ,9/22/14 8:40 AM,9/22/14 8:15 PM to 8:30 PM,Unknown person took iPad from patient's room,Open,D00828,-87.6038772,41.790394799999994
5716,Information / Theft from Person,1147 E. 56th St.,9/23/14 10:41 AM,9/23/14 10:35 AM,Suspect grabbed iPad from a victim walking on the sidewalk off campus / CPD case HX439747,CPD,D00830,-87.59790249999998,41.79321909999999
5722,Theft,1212 E. 59th St. ,9/24/14 11:20 AM,9/22/14 8:10 AM to 1:00 PM,"Unknown person took victim's wallet / Follow up by UCPD Investigations Unit resulted in the identification of a suspect, but victim refused to prosecute / Ex. Cleared",Ex. Cleared,D00837,-87.5955798,41.7882112
5723,Theft,929 E. 57th St. ,9/24/14 2:43 PM,9/23/14 to 9/24/14 8:00 PM to 2:05 PM,Laptop computer and other electronics taken from an unattended back pack,Open,D00838,-87.60270899999998,41.7908878
5725,Theft,900 E. 57th St. ,9/25/14 10:33 AM,9/24/14 7:00 AM to 10:00 PM,Unknown person took secured bicycle from the bike rack,Open,D00840,-87.6034081,41.791646899999996
5728,Assist Other Agency / Theft,1534 E. Midway Pl.,9/25/14 1:52 PM,9/25/14 1:52 PM,UCPD officers observed an individual enter a parked vehicle and take a GPS device and other items / Suspect detained and turned over to CPD / CPD case HX442915,CPD,D00843,-87.96386679999998,42.0255343
5731,Theft,6100 S. Ingleside ,9/25/14 10:09 PM,9/25/14 9:30 PM to 9:40 PM,Contract employee reported unknown person took backpack,Open,D00846,-87.60310190000001,41.783918299999996
5735,Information / Theft,5639 S. University ,9/26/14 4:55 PM,9/20/14 2:45 AM,Video camera attached to the front exterior of the building was taken / CPD case,CPD,D00850,-87.59772199999998,41.792015
5740,Theft,1414 E. 59th St. ,9/27/14 10:35 AM,3/26/14 to 9/21/14 12:00 PM to 11:00 AM,Bicycle was taken from the bicycle storage room,Open,D00855,-87.59083340000001,41.788238899999996
5744,Theft from Motor Vehicles,5608 S. Stony Island ,9/29/14 7:42 AM,9/26/14 to 9/29/14 1:30 AM to 6:45 AM,Unknown person(s) took tools and equipment from three vans in the parking lot,Open,D00859,-87.5868373,41.792869
5747,Theft,5747 S. Ellis ,9/30/14 11:27 AM,9/30/14 11:15 AM to 11:20 AM,Unknown person took secured bicycle from bike rack,Open,D00863,-87.60097390000001,41.7900022
5749,Theft,5530 S. Ellis ,9/30/14 7:36 PM,9/30/14 7:30 AM to 5:30 PM,Secured bicycle taken from bike rack,Open,D00865,-87.60162840000001,41.794474
5752,Theft,5721 S. Maryland ,10/1/14 11:07 AM,10/1/14 6:30 AM to 10:50 AM,Laptop computer taken from book bag left unattended in 5th floor locker room,Open,D00869,-87.6046094,41.7902271
5754,Theft,5845 S. Ellis ,10/1/14 7:33 PM,10/1/14 11:00 AM to 7:00 PM,Secured bicycle taken from bike rack,Open,D00871,-87.6011168,41.7885049
5756,Theft,5812 S. Ellis ,10/2/14 10:08 AM,10/1/14 11:30 AM to 12:00 PM,"Unknown person took credit card, debit card and UC ID from an unattended purse in an office",Open,D00873,-87.6023235,41.7891449
5757,Information / Theft,950 E. 59th St. ,10/1/14 5:29 PM,10/1/14 2:00 PM to 4:00 PM,Cell phone taken from charger in secured office / Reported to CPD,CPD,D00874,-87.60279190000001,41.7878573
5758,Theft from Person,5900 S. Woodlawn,10/2/14 7:28 PM,10/2/14 7:05 PM,Unknown person took wallet from the rear pocket of a victim walking on the sidewalk,Open,D00875,-87.59639589999998,41.7878699
5760,Theft,5730 S. Drexel ,10/2/14 11:09 PM,10/2/14 5:30 PM to 11:05 PM,Unknown person took unattended leather waist bag from table in nurse's station,Open,D00878,-87.6038772,41.790394799999994
5761,Theft,5730 S. Drexel ,10/2/14 11:44 PM,10/2/14 11:30 PM to 11:40 PM,Unknown person took cash from bag left unattended in Neo-Natal Care Unit,Open,D00879,-87.6038772,41.790394799999994
5768,Theft,5758 S. Maryland ,10/7/14 1:21 PM,9/23/14 to 10/3/14 12:00 PM to 2:00 PM,Staff member reports unknown person took prescription pad,Open,D00889,-87.60554789999998,41.7901233
5772,Theft,5700 S. Maryland ,10/7/14 11:39 PM,10/7/14 7:00 PM to 11:30 PM,Cash and credit cards taken from two unsecured lockers in staff locker room,Open,D00893,-87.60495069999997,41.79106779999999
5773,Theft,5758 S. Maryland ,10/8/14 10:27 AM,10/8/14 10:10 AM,Unknown person took wallet from purse in café / Subsequent use of credit card reported,Open,D00894,-87.60554789999998,41.7901233
5776,Theft,970 E. 58th St. ,10/9/14 11:11 AM,10/7/14 1:20 PM,Store staff notified UCPD of a suspect seen two days prior taking merchandise from the store without paying,Open,D00897,-87.6014637,41.789747399999996
5777,Theft,1155 E. 60th St. ,10/10/14 10:25 AM,10/9/14 12:00 PM to 2:00 PM,Unknown person took a credit card from a wallet left unattended in an unsecured cubicle / Subsequent unauthorized use of credit card reported,Open,D00898,-87.5971531,41.7855052
5780,Theft,924 E. 57th St. ,10/13/14 1:25 PM,10/13/14 12:30 PM to 1:20 PM,Secured bicycle taken from bike rack,Open,D00901,-87.6028077,41.79192099999999
5781,Theft,5730 S. Ellis ,10/13/14 3:19 PM,10/10/14 11:45 AM to 4:30 PM,Seat taken from bicycle secured to bike rack,Open,D00902,-87.60255599999998,41.790225
5782,Theft,5700 S. Maryland ,10/13/14 8:44 PM,10/13/14 6:00 AM to12:00 PM,Wallet taken from purse left unattended in unsecured room,Open,D00903,-87.60495069999997,41.79106779999999
5783,Assist Other Agency / Theft,1453 E. 53rd St.,10/14/14 4:27 PM,10/14/14 4:27 PM,UCPD officers located and detained a retail theft suspect / Turned over to CPD,CPD,D00904,-87.5897063,41.799292
5785,Theft,970 E. 58th St. ,10/15/14 12:06 PM,10/15/14 11:45 AM,Two unknown suspects took several text books from the bookstore without paying / The suspects were identiifed through follow up investigation / Complainant declined to prosecute / Exceptionally Cleared,Ex. Cleared,D00907,-87.6014637,41.789747399999996
5786,Theft,969 E. 60th St. ,10/15/14 4:48 PM,10/15/14 2:50 PM to 3:00 PM,Cell phone left unattended in first floor washroom taken by an unknown person,Open,D00908,-87.60174090000001,41.7855814
5795,Theft,950 E. 59th St. ,10/22/14 11:29 AM,10/22/14 9:58 AM to 10:00 AM,Keys left in door lock were taken by an unknown person,Open,D00917,-87.60279190000001,41.7878573
5796,Theft,5758 S. Maryland ,10/22/14 3:48 PM,10/22/14 1:00 PM to 3:00 PM,"Unknown person took unattended iPad and miscellaneous papers / Subsequent to investigation, the suspect was identified / Property was returned to the owner / Victim refused to prosecute",Ex. Cleared,D00918,-87.60554789999998,41.7901233
5798,Theft,5840 S. Kenwood ,10/23/14 9:49 AM,10/22/14 9:00 AM to 5:00 PM,Unattended iPhone left in classroom taken by an unknown person,Open,D00920,-87.59318329999998,41.7893743
5799,Theft,5815 S. Maryland ,10/23/14 12:16 PM,10/22/14 12:00 PM to 1:30 PM,"Unattended, unsecured cash taken from patient's room",Open,D00921,-87.6041439,41.78917240000001
5801,Theft from Motor Vehicle,1427 E. 60th St. ,10/23/14 4:40 PM,10/23/14 2:00 PM to 4:20 PM,Unattended cell phone taken from cab of delivery truck,Open,D00924,-87.59030390000001,41.7857416
5803,Theft from Motor Vehicle,6000 S. Drexel ,10/24/14 10:44 AM,10/23/14 to 10/24/14 4:30 PM to 8:15 AM,"Unknown person forced entry to a parked, unattended UC Facilities truck and took 8 sink valves",Open,D00926,-87.6044453,41.78585089999999
5810,Theft,1212 E. 59th St. ,10/26/14 1:51 PM,10/26/14 9:30 AM to 11:30 AM,An unknown person took a glass vase with flowers from the 3rd floor hallway / Vase was located in an adjoining room / Case Unfounded,Unfounded,D00933,-87.5955798,41.7882112
5819,Theft,5848 S. University ,10/28/14 3:05 PM,10/28/14 12:40 PM to 3:00 PM,Unattended back pack placed under desk in unsecured room taken by an unknown person,Open,D00942,-87.598282,41.788401
5821,Theft from Motor Vehicle,6000 S. Drexel ,10/28/14 4:43 PM,10/27/14 to 10/28/14 11:00 PM to 2:00 AM,Unknown person took two packs of cigarettes from an unsecured car parked in the lot,Open,D00944,-87.6044453,41.78585089999999
5823,Information / Theft,5700 S. Harper,10/28/14 10:33 PM,10/28/14 7:15 PM to 9:15 PM,Unknown person took bicycle that had been secured to a city street pole off campus / CPD case,CPD,D00946,-87.5891819,41.79139809999999
5825,Theft,5230 S. Lake Park,10/29/14 2:55 PM,10/29/14 2:55 PM,UCPD officer arrested an individual who had taken merchandise from a retail establishment without paying,Arrest,D00948,-87.5876323,41.8000019
5826,Theft,5735 S. Ellis ,10/30/14 1:10 PM,10/29/14 to10/30/14 5:30 PM to 10:30 AM,Computer charger taken from desk top in secured 3rd floor lab,Open,D00949,-87.6008906,41.7905991
5829,Theft,5640 S. University ,10/31/14 12:29 PM,10/30/14 2:00 PM to 2:15 PM,Laptop computer taken from unattended back pack placed under a table in the dinning room,Open,D00952,-87.59822439999998,41.7925325
5839,Theft,1100 E. 58th St. ,11/4/14 8:01 AM,11/2/14 to 11/3/14 11:50 PM to 12:00 PM,X-Box system taken from lounge in secured area,Open,D00962,-87.59917689999997,41.7901848
5841,Theft,924 E. 57th St. ,11/5/14 4:16 PM,11/5/14 2:30 PM to 4:10 PM,Secured bicycle taken from bike rack,Open,D00966,-87.6028077,41.79192099999999
5842,Theft,5700 S. Maryland ,11/5/14 5:58 PM,11/5/14 12:00 PM to 2:00 PM,Unattended gold diamond ring and credit cards taken by unknown person / Subsequent unauthorized use of credit cards reported,Open,D00967,-87.60495069999997,41.79106779999999
5849,Theft from Person,1120 E. 59th St.,11/6/14 4:06 PM,11/6/14 4:00 PM,"Unknown suspect snatched cell phone from the hand of a victim walking on the sidewalk / Suspect fled southbound on foot / Subsequent to investigation, 2 suspects were taken into custody by UCPD Investigations on 11/14/14",Arrest,D00974,-87.5980392,41.787780700000006
5850,Theft,929 E. 57th St. ,11/6/14 5:15 PM,11/6/14 1:00 PM to 3:00 PM,Wallet taken from unattended jacket left in unsecured office / Subsequent unauthorized use of credit card reported,Open,D00975,-87.60270899999998,41.7908878
5858,Theft,1100 E. 57th St. ,11/10/14 3:34 PM,11/10/14 3:10 PM to 3:15 PM,Unattended laptop taken from table in unsecured area,Open,D00983,-87.6001136,41.7922076
5859,Theft,5600 S. University ,11/10/14 4:50 PM,11/10/14 7:15 AM to 9:30 AM,Unsecured bicycle taken from bike rack,Open,D00984,-87.5981485,41.7932193
5864,Theft,5807 S. Woodlawn ,11/12/14 4:10 PM,11/12/14 12:00 PM to 2:00 PM,Wallet taken from unattended bag while in student lounge / Subsequent unauthorized use of credit cards reported,Open,D00989,-87.5955699,41.7889213
5867,Theft,950 E. 59th St. ,11/13/14 10:41 AM,3/18/14 to 11/12/14 3:30 PM to 9:00 AM,Prescription pad taken by an unknown person,Open,D00992,-87.60279190000001,41.7878573
5868,Theft from Motor Vehicle,1160 E. 56th St.,11/13/14 10:30 PM,11/13/14 4:35 PM to 10:25 PM,Spare tire taken from the rear of a Jeep parked on the street,Open,D00993,-87.59740550000001,41.79348510000001
5869,Theft,5839 S. Maryland ,11/14/14 10:55 AM,11/14/14 10:45 AM to 10:50 AM,Unattended cell phone taken from exam room,Open,D00994,-87.6049245,41.7887309
5871,Theft,5800 S. Stony Island ,11/14/14 3:13 PM,11/14/14 1:45 PM to 2:00 PM,Wallet taken from unattended bag left in 1st floor hallway,Open,D00996,-87.58707419999998,41.78928870000001
5875,Theft,1111 E. 60th St. ,11/15/14 12:45 PM,11/13/14 to 11/15/14 2:30 PM to 11:00 AM,Individual's unattended and unsecured text books taken from 6th floor library,Open,D01000,-87.59868900000001,41.785329499999996
5876,Theft,1111 E. 60th St. ,11/15/14 1:10 PM,11/13/14 to 11/15/14 5:00 PM to 11:15 AM,Individual's unattended and unsecured text books taken from desk in 5th floor library,Open,D01001,-87.59868900000001,41.785329499999996
5877,Theft,1111 E. 60th St. ,11/15/14 3:47 PM,11/12/14 12:00 PM to 4:00 PM,Individual's unattended and unsecured text book taken from 4th floor study area,Open,D01002,-87.59868900000001,41.785329499999996
5878,Theft,1111 E. 60th St. ,11/16/14 2:36 PM,11/12/14 to 11/14/14 6:00 PM to 8:30 AM,Individual's unsecured and unattended text books taken from 5th floor study area,Open,D01003,-87.59868900000001,41.785329499999996
5881,Theft,1111 E. 60th St. ,11/17/14 12:36 PM,11/14/14 to 11/17/14 7:00 PM to12:10 PM,Text book taken from unsecured desk on the 6th floor,Open,D01006,-87.59868900000001,41.785329499999996
5882,Theft,5835 S. Greenwood ,11/17/14 2:20 PM,11/17/14 10:00 AM to 10:02 AM,Unknown person took 5 prescribed pills from a bottle left unattended in the lower level washroom,Open,D01007,-87.59909929999998,41.7884006
5885,Theft,860 E. 59th St. ,11/18/14 1:26 PM,11/18/14 12:00 PM to 12:45 PM,Unattended laptop computer taken from desktop in unsecured office,Open,D01010,-87.60405390000001,41.78788529999999
5891,Theft,5706 S. University ,11/20/14 12:22 PM,11/20/14 12:10 PM to 12:20 PM,Unknown person took wallet from shoulder bag victim was carrying,Open,D01016,-87.59826329999999,41.7909142
5892,Theft,1212 E. 59th St. ,11/20/14 3:38 PM,11/19/14 to 11/20/14 10:30 PM to 10:00 AM,Laptop computer taken from back pack left unattended,Open,D01017,-87.5955798,41.7882112
5898,Theft,6031 S. Ellis ,11/23/14 2:19 PM,11/20/14 to 11/23/14 5:00 PM to 8:30 AM,Secured bicycle taken from bike rack,Open,D01023,-87.60034870000001,41.78502539999999
5902,Assist Other Agency / Theft,1453 E. 53rd St. ,11/24/14 3:14 PM,11/24/14 3:14 PM,UCPD officers located and detained two individuals who had taken several items of merchandise and fled from retail establishment / Property recovered / Suspects turned over to CPD,CPD,D01027,-87.5897063,41.799292
5906,Theft,5530 S. Ellis ,11/25/14 9:45 PM,11/25/14 9:30 PM to 9:40 PM,"Unattended, unsecured running shoes taken from locker room",Open,D01032,-87.60162840000001,41.794474
5911,Theft,850 E. 58th St. ,11/29/14 12:43 AM,11/28/14 6:00 PM to 11:50 PM,Computer taken from secured office / Subsequent to initial report the computer was located / Item moved by other staff members / No crime committed,Unfounded,D01037,-87.60409899999998,41.7897594
5914,Theft,5414 S. Ridgewood ,12/1/14 10:13 AM,11/29/14 2:00 PM to 8:00 PM,Unknown person entered unlocked vestibule and took contents of a package delivered by USPS,Open,D01040,-87.5932843,41.7975071
5916,Theft,5530 S. Ellis ,12/2/14 1:42 PM,11/25/14 to 11/28/14 11:30 PM to 1:00 PM,Coat taken from unsecured locker,Open,D01042,-87.60162840000001,41.794474
5917,Theft,5700 S. Maryland ,12/3/14 2:25 PM,12/3/14 1:20 PM,Unattended iPhone taken from 6th floor waiting area / Suspect identified / Phone returned to owner / Owner refused to prosecute / Exceptionally cleared,Ex. Cleared,D01043,-87.60495069999997,41.79106779999999
5918,Theft,860 E. 59th St. ,12/3/14 4:17 PM,12/3/14  7:00 AM to 2:00 PM,Wallet taken from unattended back pack left in unsecured office / Subsequent unauthorized use of credit cards reported,Open,D01044,-87.60405390000001,41.78788529999999
5920,Theft,5815 S. Maryland ,12/4/14 3:52 PM,12/3/14 to 12/4/14 10:00 PM to 3:50 PM,Cash taken from cigarette box in patient's room,Open,D01046,-87.6041439,41.78917240000001
5930,Theft,5316 S. Dorchester ,12/10/14 4:13 PM,12/3/14 to 12/9/14 2:30 PM to 8:00 PM,Unknown person took two packages delivered by UPS from unsecured mailroom in apartment building,Open,D01057,-87.59198800000001,41.7987741
5934,Theft,5850 S. Woodlawn ,12/12/14 4:39 PM,12/12/14 3:00 PM to 4:30 PM,Unattended bag taken from bench / Bag later found in trash container minus an iPad and medication,Open,D01061,-87.5968266,41.788241
5938,Theft,5640 S. University ,12/15/14 5:11 PM,11/6/14 1:20 PM to 3:30 PM,Unattended laptop taken from table in dining area,Open,D01065,-87.59822439999998,41.7925325
5939,Theft,1118 E. 58th St. ,12/15/14 5:34 PM,12/5/14 to 12/11/14 5:30 PM to 11:00 AM,iPad taken from secured office,Open,D01066,-87.6012587,41.789548100000005
5941,Theft,5815 S. Maryland ,12/17/14 11:18 AM,12/16/14 3:35 PM to 3:40 PM,"Unattended, unsecured cash taken from patient's room",Open,D01069,-87.6041439,41.78917240000001
5943,Theft from Motor Vehicle,6020 S. University,12/22/14 2:27 PM,12/22/14 11:00 AM to 2:20 PM,Unknown person smashed window of unoccupied vehicle parked on the street and took bag containing personal property,Open,D01071,-87.598073,41.78517129999999
5945,Theft,5841 S. Maryland ,12/23/14 2:21 PM,12/22/14 1:15 PM to 4:15 PM,Wallet taken from unattended purse left under desk in unsecured office / Subsequent unauthorized use of credit card reported,Open,D01073,-87.6045656,41.7883128
5957,Theft,5482 S. Greenwood ,1/2/15 4:08 PM,1/2/15 9:10 AM to 11:00 AM,Items taken from parcels left in vestibule of apartment building,Open,E00002,-87.60004920000002,41.7956081
5965,Theft,5758 S. Maryland ,1/6/15 1:21 PM,1/6/15 10:45 AM to 11:05 AM,Unattended iPad placed on chair in waiting room was taken by an unknown person,Open,E00010,-87.60554789999998,41.7901233
5966,Theft,1307 E. 60th St. ,1/6/15 3:13 PM,12/12/14 4:30 PM to 5:30 PM,Unattended back pack containing a laptop computer was taken from lobby,Open,E00011,-87.5938738,41.78566300000001
5979,Theft,5700 S. Maryland ,1/10/15 10:53 AM,1/10/15 1:30 AM to 9:30 AM,Patient reported cash was taken from unsecured purse left in room,Open,E00024,-87.60495069999997,41.79106779999999
5985,Theft,5640 S. University ,1/12/15 1:13 PM,1/9/15 to 1/10/15 12:30 PM to 8:00 AM,Unattended back pack containing lap top computer placed under table in dining hall taken / Back pack located minus the lap top computer,Open,E00030,-87.59822439999998,41.7925325
5992,Theft,5700 S. Maryland ,1/15/15 11:35 AM,1/14/15 to 1/15/15 7:30 PM to 7:30 AM,iPad taken from secured locker in 7th floor locker room,Open,E00037,-87.60495069999997,41.79106779999999
5994,Theft,900 E. 57th St. ,1/16/15 2:18 PM,1/7/15 to 1/8/15 4:00 PM to 8:00 PM,Unknown person took a prescription pad,Open,E00039,-87.6034081,41.791646899999996
5995,Theft,5735 S. Ellis ,1/16/15 2:44 PM,1/16/15 12:55 PM to 2:40 PM,Laptop computer taken from desk in unsecured 4th floor office,Open,E00040,-87.6008906,41.7905991
5996,Theft,5735 S. Ellis ,1/16/15 5:04 PM,1/16/15 12:00 PM to 12:30 PM,Unattended cell phone taken from desktop in unsecured 4th floor office,Open,E00041,-87.6008906,41.7905991
6002,Information / Theft,5639 S. University ,1/19/15 9:51 PM,1/19/15 12:30 AM to 2:00 AM,Coat with wallet in pocket taken during a party / Subsequent unauthorized use of credit card reported / CPD report,CPD,E00047,-87.59772199999998,41.792015
6005,Theft,5735 S. Ellis ,1/20/15 4:01 PM,1/20/15 8:45 AM to 1:45 PM,Cash taken from wallet,Open,E00050,-87.6008906,41.7905991
6012,Theft,970 E. 58th St. ,1/22/15 3:50 PM,1/22/15 3:45 PM,Unknown suspect grabbed 10 jackets and fled store without paying,Open,E00058,-87.6014637,41.789747399999996
6015,Theft,5700 S. Maryland ,1/23/15 12:36 PM,1/23/15 12:00 PM to 12:15 PM,Cell phone left in pocket of unattended jacket taken by an unknown person / Phone was found in café and returned to owner / No theft occurred,Unfounded,E00063,-87.60495069999997,41.79106779999999
6016,Theft,929 E. 57th St. ,1/23/15 7:22 PM,1/23/15 4:00 PM to 4:30 PM,Laptop computer taken from unattended book bag left in unsecured office,Open,E00064,-87.60270899999998,41.7908878
6020,Theft,901 E. 58th St. ,1/24/15 5:45 PM,1/24/15 4:00 AM to 5:45 PM,Wallet taken from patient's purse in ER,Open,E00068,-87.6049245,41.78949770000001
6023,Theft,5747 S. Ellis ,1/26/15 6:12 PM,1/26/15 2:30 PM to 6:00 PM,"Wallet taken from unattended, unsecured back pack left in hallway outside of room 104 / Subsequent unauthorized use of credit cards reported",Open,E00071,-87.60097390000001,41.7900022
6025,Theft,5530 S. Ellis ,1/27/15 8:30 PM,1/27/15 8:00 PM to 8:30 PM,Unattended iPhone and wallet taken from bench in men's locker room / Suspect identified but victim declined to prosecute,Ex. Cleared,E00073,-87.60162840000001,41.794474
6026,Theft,5848 S. University ,1/28/15 5:17 PM,1/28/15 5:15 PM,Unknown person took laptop computer from table in room 222,Open,E00075,-87.598282,41.788401
6031,Attempt Theft,6031 S. Ellis ,1/31/15 12:30 PM,1/30/15 to 1/31/15 8:00 AM to 10:00 AM,Unknown person took items of food from storage cooler and hid them under loading dock lift / Suspect identified and arrested on 2/10/15 by UCPD Investigator subsequent to follow up investigation,Arrest,E00080,-87.60034870000001,41.78502539999999
6035,Theft,1414 E. 59th St. ,2/2/15 11:39 AM,1/31/15 10:00 PM to 11:00 PM,Unattended jacket left in dining area taken,Open,E00084,-87.59083340000001,41.788238899999996
6037,Theft from Motor Vehicle,1420 E. Midway Plaisance,2/2/15 3:42 PM,2/2/15 6:20 AM to 3:30 PM,Catalytic converter taken from Chevrolet Cavalier parked on the street,Open,E00087,-87.59625659999998,41.78722200000001
6040,Theft,860 E. 59th St. ,2/3/15 9:14 AM,1/30/15 to 2/2/15 5:15 PM to 8:00 AM,iPad taken from desk in unsecured office,Open,E00090,-87.60405390000001,41.78788529999999
6043,Theft,1116 E. 59th St. ,2/4/15 3:59 PM,2/4/15 3:30 PM to 3:40 PM,"Unattended, unsecured laptop computer taken from 3rd floor cubicle",Open,E00093,-87.59957940000001,41.7879593
6047,Theft,940 E. 57th St. ,2/5/15 4:43 PM,2/5/15 1:30 PM to 3:15 PM,Unattended iPhone left on desk in unsecured office taken by unknown person,Open,E00097,-87.6026488,41.791447100000006
6048,Theft,929 E. 57th St. ,2/6/15 4:08 PM,2/6/15 4:00 PM to 4:05 PM,Unknown person took unattended iPhone and wristlet containing ID and credit cards,Open,E00098,-87.60270899999998,41.7908878
6053,Theft,5608 S. Stony Island,2/9/15 7:45 AM,2/5/15 10:00 PM to 10:25 PM,2 wireless access points taken from building,Open,E00103,-87.5868373,41.792869
6055,Theft,5608 S. Stony Island,2/10/15 8:59 AM,2/9/15 11:00 PM to 11:40 PM,2 wireless access points taken from 1st floor of building,Open,E00106,-87.5868373,41.792869
6056,Theft,5855 S. Cottage Grove,2/10/15 3:36 PM,1/30/15 2:25 PM,Shipment of 3 boxes of iPhones taken from UC Medicine loading dock,Open,E00107,-87.6060715,41.7887091
6062,Theft,1101 E. 56th St. ,2/13/15 3:27 PM,2/12/15 to 2/13/15 10:30 PM to 6:00 AM,"Unknown person took unattended, unsecured  laptop computer from room that was intentionally left open to permit access to others / Computer was misplaced and later found by complainant on 2/16/15",Unfounded,E00113,-87.59982459999998,41.7930128
6070,Information / Attempt Theft,1030 E. 52nd St.,2/16/15 10:43 PM,2/16/15 10:40 PM,"Two subjects attempted to take property from a person walking on the sidewalk / UCPD officers detained 4 suspects /  Complainant positively identified the suspects, however, refused to file a report or sign complaints / Subjects released",Closed,E00121,-87.6008967,41.8008751
6071,Theft,1010 E. 59th St. ,2/17/15 12:07 PM,2/16/15 to 2/17/15 5:00 PM to 11:00 AM,Laptop computer taken from secured office,Open,E00122,-87.60082369999998,41.7879638
6072,Theft,1116 E. 59th St. ,2/17/15 1:33 PM,2/17/15 5:30 AM to  9:30 AM,"Unattended, back pack containing iPad and textbooks taken from unsecured room",Open,E00123,-87.59957940000001,41.7879593
6077,Theft,5807 S. Woodlawn ,2/19/15 5:20 PM,2/19/15 4:40 PM to 4:42 PM,Unknown person took unattended iPad from unsecured office,Open,E00128,-87.5955699,41.7889213
6078,Theft,1116 E. 59th St. ,2/20/15 8:44 AM,2/20/15 12:00 AM to 12:10 AM,"Unattended, unsecured book bag taken from common area on 2nd floor",Open,E00129,-87.59957940000001,41.7879593
6079,Theft,1212 E. 59th St. ,2/20/15 4:18 PM,2/20/15 11:15 AM to 2:45 PM,"Wallet taken from unattended, unsecured purse left in 2nd floor room / Subsequent unauthorized use of credit cards reported",Open,E00130,-87.5955798,41.7882112
